"Z.nm.","X.nm.","Y.nm.","Genomic.coordinate","Chromosome.copy.number"
2356,12822,20311,"chr2:200500001-200550001",2
2586,12572,20239,"chr2:200750001-200800001",2
2678,12588,20563,"chr2:201000001-201050001",2
2711,12700,20295,"chr2:201250001-201300001",2
2663,12855,20330,"chr2:201500001-201550001",2
2669,12795,20766,"chr2:201750001-201800001",2
2803,12779,20758,"chr2:202000001-202050001",2
3069,13077,20561,"chr2:202250001-202300001",2
2924,12999,20676,"chr2:202500001-202550001",2
3091,12814,20843,"chr2:202750001-202800001",2
3130,12733,20788,"chr2:203000001-203050001",2
3350,13005,20789,"chr2:203250001-203300001",2
3196,12771,20820,"chr2:203500001-203550001",2
3122,12588,20793,"chr2:203750001-203800001",2
3061,12745,21000,"chr2:204000001-204050001",2
2873,12677,20995,"chr2:204250001-204300001",2
3009,12737,20792,"chr2:204500001-204550001",2
3058,12431,20963,"chr2:204750001-204800001",2
3032,12703,20885,"chr2:205000001-205050001",2
3027,12648,20957,"chr2:205250001-205300001",2
3071,12491,21315,"chr2:205500001-205550001",2
3207,12528,20873,"chr2:205750001-205800001",2
3057,12841,21156,"chr2:206000001-206050001",2
2818,12830,21068,"chr2:206250001-206300001",2
2580,13146,21622,"chr2:206500001-206550001",2
2707,12670,21605,"chr2:206750001-206800001",2
2642,12446,21458,"chr2:207000001-207050001",2
2760,12379,21278,"chr2:207250001-207300001",2
2778,12748,21405,"chr2:207500001-207550001",2
2608,12438,21756,"chr2:207750001-207800001",2
2642,12412,21772,"chr2:208000001-208050001",2
2904,12414,21455,"chr2:208250001-208300001",2
3167,12656,21905,"chr2:208500001-208550001",2
2889,12418,21543,"chr2:208750001-208800001",2
2831,12337,21637,"chr2:209000001-209050001",2
2957,12648,21794,"chr2:209250001-209300001",2
3030,12723,21805,"chr2:209500001-209550001",2
2941,13322,22003,"chr2:209750001-209800001",2
2955,13037,21744,"chr2:210000001-210050001",2
2772,13094,21671,"chr2:210250001-210300001",2
2663,13001,21695,"chr2:210500001-210550001",2
2738,12806,21533,"chr2:210750001-210800001",2
2701,12851,21779,"chr2:211000001-211050001",2
2512,12751,21254,"chr2:211250001-211300001",2
2525,13119,21477,"chr2:211500001-211550001",2
2588,12963,21652,"chr2:211750001-211800001",2
2743,13303,21473,"chr2:212000001-212050001",2
2606,13245,21463,"chr2:212250001-212300001",2
2607,13116,21426,"chr2:212500001-212550001",2
2765,13675,21187,"chr2:212750001-212800001",2
2815,13182,20523,"chr2:213000001-213050001",2
2371,13473,20607,"chr2:213250001-213300001",2
2851,12975,21091,"chr2:213500001-213550001",2
2531,13323,21479,"chr2:213750001-213800001",2
2381,13491,21287,"chr2:214000001-214050001",2
2371,13451,21225,"chr2:214250001-214300001",2
2394,13287,21404,"chr2:214500001-214550001",2
2628,13285,21267,"chr2:214750001-214800001",2
2729,13148,21960,"chr2:215000001-215050001",2
2817,13327,21151,"chr2:215250001-215300001",2
2574,13198,20934,"chr2:215500001-215550001",2
2742,13405,20810,"chr2:215750001-215800001",2
2842,13135,21283,"chr2:216000001-216050001",2
2747,13417,21118,"chr2:216250001-216300001",2
2976,13264,21159,"chr2:216500001-216550001",2
3191,13377,20957,"chr2:216750001-216800001",2
3216,13278,21045,"chr2:217000001-217050001",2
3036,13072,21297,"chr2:217250001-217300001",2
3169,13137,20937,"chr2:217500001-217550001",2
3110,13545,20839,"chr2:217750001-217800001",2
3300,13643,20823,"chr2:218000001-218050001",2
2984,13517,20584,"chr2:218250001-218300001",2
3192,13686,20573,"chr2:218500001-218550001",2
3163,13712,20748,"chr2:218750001-218800001",2
3098,13701,21019,"chr2:219000001-219050001",2
3039,13697,21003,"chr2:219250001-219300001",2
2972,14007,21205,"chr2:219500001-219550001",2
3614,13801,20652,"chr2:219750001-219800001",2
3283,13187,20253,"chr2:220000001-220050001",2
3210,13990,21433,"chr2:220250001-220300001",2
3301,13908,21767,"chr2:220500001-220550001",2
3131,13498,21604,"chr2:220750001-220800001",2
3023,13740,21313,"chr2:221000001-221050001",2
3147,13637,21366,"chr2:221250001-221300001",2
3195,13451,21571,"chr2:221500001-221550001",2
3016,13749,21728,"chr2:221750001-221800001",2
3006,14006,21474,"chr2:222000001-222050001",2
3559,12096,21166,"chr2:222250001-222300001",2
2731,14103,21698,"chr2:222500001-222550001",2
2810,14121,21502,"chr2:222750001-222800001",2
3012,14135,21175,"chr2:223000001-223050001",2
2820,14301,21403,"chr2:223250001-223300001",2
3843,10465,19569,"chr2:223500001-223550001",2
2636,14001,21113,"chr2:223750001-223800001",2
2438,13926,21296,"chr2:224000001-224050001",2
2470,14089,21239,"chr2:224250001-224300001",2
2816,14239,21236,"chr2:224500001-224550001",2
2641,13888,21292,"chr2:224750001-224800001",2
2678,13766,21291,"chr2:225000001-225050001",2
2573,13742,21625,"chr2:225250001-225300001",2
2703,13629,21600,"chr2:225500001-225550001",2
2938,13765,21654,"chr2:225750001-225800001",2
2830,13281,21374,"chr2:226000001-226050001",2
2992,13582,21349,"chr2:226250001-226300001",2
2950,13701,21309,"chr2:226500001-226550001",2
2860,13647,21269,"chr2:226750001-226800001",2
2368,13787,19798,"chr2:227000001-227050001",2
2903,13082,21790,"chr2:227250001-227300001",2
2788,13095,21502,"chr2:227500001-227550001",2
3037,13636,21695,"chr2:227750001-227800001",2
2959,13210,21984,"chr2:228000001-228050001",2
3061,13603,21678,"chr2:228250001-228300001",2
3124,13522,21417,"chr2:228500001-228550001",2
3144,13884,21747,"chr2:228750001-228800001",2
2728,13145,21920,"chr2:229000001-229050001",2
3012,13436,21695,"chr2:229250001-229300001",2
2994,13536,21758,"chr2:229500001-229550001",2
2792,13151,21454,"chr2:229750001-229800001",2
2361,12499,21511,"chr2:230000001-230050001",2
2494,12685,21192,"chr2:230250001-230300001",2
2428,12642,21299,"chr2:230500001-230550001",2
2613,13094,21107,"chr2:230750001-230800001",2
2337,13080,21365,"chr2:231000001-231050001",2
2475,13173,21211,"chr2:231250001-231300001",2
2268,13436,21205,"chr2:231500001-231550001",2
2424,13722,20856,"chr2:231750001-231800001",2
2437,14030,21040,"chr2:232000001-232050001",2
2233,13914,21146,"chr2:232250001-232300001",2
2222,13705,21147,"chr2:232500001-232550001",2
2264,13469,20674,"chr2:232750001-232800001",2
2065,13601,20794,"chr2:233000001-233050001",2
2269,13545,20693,"chr2:233250001-233300001",2
1971,13291,20665,"chr2:233500001-233550001",2
2003,13134,20472,"chr2:233750001-233800001",2
2093,13089,20348,"chr2:234000001-234050001",2
2143,12947,20412,"chr2:234250001-234300001",2
2071,12918,20431,"chr2:234500001-234550001",2
2276,12857,20485,"chr2:234750001-234800001",2
2313,12973,20546,"chr2:235000001-235050001",2
2351,12885,20672,"chr2:235250001-235300001",2
2191,12972,20659,"chr2:235500001-235550001",2
2059,12968,20932,"chr2:235750001-235800001",2
2263,12915,21195,"chr2:236000001-236050001",2
2169,13072,20966,"chr2:236250001-236300001",2
2775,12913,20823,"chr2:236500001-236550001",2
2407,12974,20605,"chr2:236750001-236800001",2
2148,13060,20905,"chr2:237000001-237050001",2
2495,12893,20761,"chr2:237250001-237300001",2
2578,13193,20733,"chr2:237500001-237550001",2
2727,13291,20706,"chr2:237750001-237800001",2
2694,13490,20677,"chr2:238000001-238050001",2
2486,13409,20685,"chr2:238250001-238300001",2
2397,13440,20657,"chr2:238500001-238550001",2
2108,13342,20659,"chr2:238750001-238800001",2
2151,13295,20954,"chr2:239000001-239050001",2
2260,13245,20928,"chr2:239250001-239300001",2
2156,13277,21022,"chr2:239500001-239550001",2
2151,13441,20762,"chr2:239750001-239800001",2
2254,13471,20748,"chr2:240000001-240050001",2
2384,13214,21040,"chr2:240250001-240300001",2
2251,13404,20748,"chr2:240500001-240550001",2
2220,13791,20680,"chr2:240750001-240800001",2
2754,13999,20765,"chr2:241000001-241050001",2
2544,13964,20462,"chr2:241250001-241300001",2
2668,13992,20546,"chr2:241500001-241550001",2
2606,13756,20664,"chr2:241750001-241800001",2
3244,12190,20632,"chr2:242000001-242050001",2
1977,5391,12394,"chr2:1-50001",3
1994,5314,12574,"chr2:250001-300001",3
1671,5233,12773,"chr2:500001-550001",3
1998,5198,12197,"chr2:750001-800001",3
2231,5404,12033,"chr2:1000001-1050001",3
2375,5211,12016,"chr2:1250001-1300001",3
2150,5376,12176,"chr2:1500001-1550001",3
2196,5512,11763,"chr2:1750001-1800001",3
2370,5493,11901,"chr2:2000001-2050001",3
2465,5590,11658,"chr2:2250001-2300001",3
2196,5862,11762,"chr2:2500001-2550001",3
2168,5726,11726,"chr2:2750001-2800001",3
1978,6018,11992,"chr2:3000001-3050001",3
2271,5707,11753,"chr2:3250001-3300001",3
2109,5370,12377,"chr2:3500001-3550001",3
2189,5540,11840,"chr2:3750001-3800001",3
2440,5817,11721,"chr2:4000001-4050001",3
2416,5696,11881,"chr2:4250001-4300001",3
2238,5686,11581,"chr2:4500001-4550001",3
2246,5546,11420,"chr2:4750001-4800001",3
2272,6009,11610,"chr2:5000001-5050001",3
2161,5951,11556,"chr2:5250001-5300001",3
2207,5950,11758,"chr2:5500001-5550001",3
2390,6252,11468,"chr2:5750001-5800001",3
2548,5885,11677,"chr2:6000001-6050001",3
2536,5831,11682,"chr2:6250001-6300001",3
2557,6173,11776,"chr2:6500001-6550001",3
2418,5876,11551,"chr2:6750001-6800001",3
2450,5722,11860,"chr2:7000001-7050001",3
2542,5601,11858,"chr2:7250001-7300001",3
2647,5299,12042,"chr2:7500001-7550001",3
2462,5147,12162,"chr2:7750001-7800001",3
2443,5351,11943,"chr2:8000001-8050001",3
2255,5507,11818,"chr2:8250001-8300001",3
2407,5569,11895,"chr2:8500001-8550001",3
2567,5701,11905,"chr2:8750001-8800001",3
2373,5763,12019,"chr2:9000001-9050001",3
2598,5836,12210,"chr2:9250001-9300001",3
2557,6314,12034,"chr2:9500001-9550001",3
2638,5968,12094,"chr2:9750001-9800001",3
2513,6448,12234,"chr2:10000001-10050001",3
2407,5848,12546,"chr2:10250001-10300001",3
2462,5926,12426,"chr2:10500001-10550001",3
2444,6137,11856,"chr2:10750001-10800001",3
2219,6085,11744,"chr2:11000001-11050001",3
2226,5933,13069,"chr2:11250001-11300001",3
2354,5813,11770,"chr2:11500001-11550001",3
2362,5901,11970,"chr2:11750001-11800001",3
2390,5800,12122,"chr2:12000001-12050001",3
1855,6036,12818,"chr2:12250001-12300001",3
2769,5179,12752,"chr2:12500001-12550001",3
2607,5687,12226,"chr2:12750001-12800001",3
2580,5088,12705,"chr2:13000001-13050001",3
2584,4991,12093,"chr2:13250001-13300001",3
2769,4759,12624,"chr2:13500001-13550001",3
2672,4882,11915,"chr2:13750001-13800001",3
2959,5564,12448,"chr2:14000001-14050001",3
2778,5482,11982,"chr2:14250001-14300001",3
2467,5206,12336,"chr2:14500001-14550001",3
2402,5607,12509,"chr2:14750001-14800001",3
2392,5350,11977,"chr2:15000001-15050001",3
2276,5163,12224,"chr2:15250001-15300001",3
2363,5262,12395,"chr2:15500001-15550001",3
2155,5350,11875,"chr2:15750001-15800001",3
2416,5521,11817,"chr2:16000001-16050001",3
2173,5338,11773,"chr2:16250001-16300001",3
2070,5299,13160,"chr2:16500001-16550001",3
1776,5372,12351,"chr2:16750001-16800001",3
1987,6819,12560,"chr2:17000001-17050001",3
1821,5426,12365,"chr2:17250001-17300001",3
1784,6096,12404,"chr2:17500001-17550001",3
2216,6040,11896,"chr2:17750001-17800001",3
1806,6488,12774,"chr2:18000001-18050001",3
1765,5868,12308,"chr2:18250001-18300001",3
1837,6066,12531,"chr2:18500001-18550001",3
2035,5670,12869,"chr2:18750001-18800001",3
1982,5720,13160,"chr2:19000001-19050001",3
2173,5472,13286,"chr2:19250001-19300001",3
2044,5834,12983,"chr2:19500001-19550001",3
1917,5864,12839,"chr2:19750001-19800001",3
1802,6072,12543,"chr2:20000001-20050001",3
2176,6081,12387,"chr2:20250001-20300001",3
2375,6421,11840,"chr2:20500001-20550001",3
2161,6175,11842,"chr2:20750001-20800001",3
1656,5810,11612,"chr2:21000001-21050001",3
2198,6116,11887,"chr2:21250001-21300001",3
2396,6227,12093,"chr2:21500001-21550001",3
2149,6004,11922,"chr2:21750001-21800001",3
2173,5832,12001,"chr2:22000001-22050001",3
2502,5757,11950,"chr2:22250001-22300001",3
2156,5884,11705,"chr2:22500001-22550001",3
2020,6121,11791,"chr2:22750001-22800001",3
2057,6064,11810,"chr2:23000001-23050001",3
2102,6002,11827,"chr2:23250001-23300001",3
2125,6083,12232,"chr2:23500001-23550001",3
2217,5829,12021,"chr2:23750001-23800001",3
2019,5690,12183,"chr2:24000001-24050001",3
2081,5497,11891,"chr2:24250001-24300001",3
1767,5748,11613,"chr2:24500001-24550001",3
2146,5525,12405,"chr2:24750001-24800001",3
1835,5760,12414,"chr2:25000001-25050001",3
2088,5781,12411,"chr2:25250001-25300001",3
2219,5778,12830,"chr2:25500001-25550001",3
1999,5487,13077,"chr2:25750001-25800001",3
2122,5476,13301,"chr2:26000001-26050001",3
2050,5371,13409,"chr2:26250001-26300001",3
2182,5157,13578,"chr2:26500001-26550001",3
2169,5172,13663,"chr2:26750001-26800001",3
2235,5073,14068,"chr2:27000001-27050001",3
2251,5175,13840,"chr2:27250001-27300001",3
2135,5274,13801,"chr2:27500001-27550001",3
2061,5680,13697,"chr2:27750001-27800001",3
2082,5713,13878,"chr2:28000001-28050001",3
1974,5653,13817,"chr2:28250001-28300001",3
2126,5759,13687,"chr2:28500001-28550001",3
2129,5884,13527,"chr2:28750001-28800001",3
2185,5717,13393,"chr2:29000001-29050001",3
2013,5618,13547,"chr2:29250001-29300001",3
1989,5519,13494,"chr2:29500001-29550001",3
2203,5391,13574,"chr2:29750001-29800001",3
2468,5715,13441,"chr2:30000001-30050001",3
2459,5318,13228,"chr2:30250001-30300001",3
2402,5426,13417,"chr2:30500001-30550001",3
2422,5537,13166,"chr2:30750001-30800001",3
2603,5544,13130,"chr2:31000001-31050001",3
2151,5425,13545,"chr2:31250001-31300001",3
2399,5328,13034,"chr2:31500001-31550001",3
2242,5264,13098,"chr2:31750001-31800001",3
2564,5346,12876,"chr2:32000001-32050001",3
2535,5423,12835,"chr2:32250001-32300001",3
2424,5051,12789,"chr2:32500001-32550001",3
2689,4999,12882,"chr2:32750001-32800001",3
2672,4873,12570,"chr2:33000001-33050001",3
2721,5180,12837,"chr2:33250001-33300001",3
2443,5065,12698,"chr2:33500001-33550001",3
2620,4908,12490,"chr2:33750001-33800001",3
3023,4985,12531,"chr2:34000001-34050001",3
2549,4898,12222,"chr2:34250001-34300001",3
2767,5005,12424,"chr2:34500001-34550001",3
2598,4837,12443,"chr2:34750001-34800001",3
2418,4997,13072,"chr2:35000001-35050001",3
2658,4369,12669,"chr2:35250001-35300001",3
2589,4305,12810,"chr2:35500001-35550001",3
2365,4369,12339,"chr2:35750001-35800001",3
3752,6531,11966,"chr2:36000001-36050001",3
2416,4404,12713,"chr2:36250001-36300001",3
2378,4775,12893,"chr2:36500001-36550001",3
2413,4662,13045,"chr2:36750001-36800001",3
2523,4827,13131,"chr2:37000001-37050001",3
2381,4968,12769,"chr2:37250001-37300001",3
2449,5533,12637,"chr2:37500001-37550001",3
2529,4951,12450,"chr2:37750001-37800001",3
2043,5429,12760,"chr2:38250001-38300001",3
2188,5569,13028,"chr2:38500001-38550001",3
2118,5576,12769,"chr2:38750001-38800001",3
2364,5665,13155,"chr2:39000001-39050001",3
2460,5550,12786,"chr2:39250001-39300001",3
2233,5205,12621,"chr2:39500001-39550001",3
2338,4879,12483,"chr2:39750001-39800001",3
2392,4645,12634,"chr2:40000001-40050001",3
2538,4917,12516,"chr2:40250001-40300001",3
1717,5857,11582,"chr2:40500001-40550001",3
2020,4750,12423,"chr2:40750001-40800001",3
2465,4773,12045,"chr2:41000001-41050001",3
2467,4707,12259,"chr2:41250001-41300001",3
2542,4250,12621,"chr2:41500001-41550001",3
2538,4504,12391,"chr2:41750001-41800001",3
2428,5475,12724,"chr2:42000001-42050001",3
2673,4813,12602,"chr2:42250001-42300001",3
3224,5384,11907,"chr2:42500001-42550001",3
2650,4825,12846,"chr2:42750001-42800001",3
2712,4870,13058,"chr2:43000001-43050001",3
2832,4760,13189,"chr2:43250001-43300001",3
2758,5162,12916,"chr2:43500001-43550001",3
2653,5258,12477,"chr2:43750001-43800001",3
2511,5345,12440,"chr2:44000001-44050001",3
2676,4966,12324,"chr2:44250001-44300001",3
2830,4783,12471,"chr2:44500001-44550001",3
2837,4933,12256,"chr2:44750001-44800001",3
2517,5441,12614,"chr2:45000001-45050001",3
2757,5303,12501,"chr2:45250001-45300001",3
2388,5383,12778,"chr2:45500001-45550001",3
2775,5149,12707,"chr2:45750001-45800001",3
2217,5627,12427,"chr2:46000001-46050001",3
2195,5642,12390,"chr2:46250001-46300001",3
2383,5440,12603,"chr2:46500001-46550001",3
2112,5680,12620,"chr2:46750001-46800001",3
2056,5171,12732,"chr2:47000001-47050001",3
2064,5342,12502,"chr2:47250001-47300001",3
2027,5434,12353,"chr2:47500001-47550001",3
2082,5103,12273,"chr2:47750001-47800001",3
2080,5021,12389,"chr2:48000001-48050001",3
2628,5159,12314,"chr2:48250001-48300001",3
2147,5404,13555,"chr2:48500001-48550001",3
2470,4827,12430,"chr2:48750001-48800001",3
2193,4775,12363,"chr2:49000001-49050001",3
2468,4591,12234,"chr2:49250001-49300001",3
2469,4558,12351,"chr2:49500001-49550001",3
2800,4597,12165,"chr2:49750001-49800001",3
2798,4470,12606,"chr2:50000001-50050001",3
2545,4543,12409,"chr2:50250001-50300001",3
2436,4246,12849,"chr2:50500001-50550001",3
2572,4519,12450,"chr2:50750001-50800001",3
2752,4189,13158,"chr2:51000001-51050001",3
2536,4330,12913,"chr2:51250001-51300001",3
2154,4406,13135,"chr2:51500001-51550001",3
2370,4349,12671,"chr2:51750001-51800001",3
2385,4620,12758,"chr2:52000001-52050001",3
2414,4557,12845,"chr2:52250001-52300001",3
2338,4510,12786,"chr2:52500001-52550001",3
2600,4458,12890,"chr2:52750001-52800001",3
2390,4545,13142,"chr2:53000001-53050001",3
2494,4516,12750,"chr2:53250001-53300001",3
2579,4751,12441,"chr2:53500001-53550001",3
2281,4102,13059,"chr2:53750001-53800001",3
2007,4752,13359,"chr2:54000001-54050001",3
2580,4511,13455,"chr2:54250001-54300001",3
2225,4639,13792,"chr2:54500001-54550001",3
2183,4823,13408,"chr2:54750001-54800001",3
2219,4762,13691,"chr2:55000001-55050001",3
2630,4584,13184,"chr2:55250001-55300001",3
2956,4655,13122,"chr2:55500001-55550001",3
3315,4194,13014,"chr2:55750001-55800001",3
2930,4390,13031,"chr2:56000001-56050001",3
3225,4017,13212,"chr2:56250001-56300001",3
2982,3974,13153,"chr2:56500001-56550001",3
3190,4079,13250,"chr2:56750001-56800001",3
3048,4243,13175,"chr2:57000001-57050001",3
3130,3784,13114,"chr2:57250001-57300001",3
2977,3793,13235,"chr2:57500001-57550001",3
2593,4421,11939,"chr2:57750001-57800001",3
2647,3932,13205,"chr2:58000001-58050001",3
2981,5279,12701,"chr2:58250001-58300001",3
2921,3468,13065,"chr2:58500001-58550001",3
2850,3732,13418,"chr2:58750001-58800001",3
2576,3597,13570,"chr2:59000001-59050001",3
2991,3381,13214,"chr2:59250001-59300001",3
3002,4023,13143,"chr2:59500001-59550001",3
2796,3842,13399,"chr2:59750001-59800001",3
2613,3921,13035,"chr2:60000001-60050001",3
3601,3380,13863,"chr2:60250001-60300001",3
2809,3603,13309,"chr2:60750001-60800001",3
2790,3986,13472,"chr2:61000001-61050001",3
2791,3823,13528,"chr2:61250001-61300001",3
2234,5174,13068,"chr2:61500001-61550001",3
2803,4344,13275,"chr2:61750001-61800001",3
2603,4514,13078,"chr2:62000001-62050001",3
2540,4362,13194,"chr2:62250001-62300001",3
2940,4615,13057,"chr2:62500001-62550001",3
2778,4342,12849,"chr2:62750001-62800001",3
2643,4381,12991,"chr2:63000001-63050001",3
2861,4114,12905,"chr2:63250001-63300001",3
2505,4320,12946,"chr2:63500001-63550001",3
2745,4883,12254,"chr2:63750001-63800001",3
2280,4710,13103,"chr2:64000001-64050001",3
2427,4519,13065,"chr2:64250001-64300001",3
2706,4833,12629,"chr2:64500001-64550001",3
2597,5724,11664,"chr2:64750001-64800001",3
2586,4549,13292,"chr2:65000001-65050001",3
2589,4895,13176,"chr2:65250001-65300001",3
2519,4945,13368,"chr2:65500001-65550001",3
2408,4855,13375,"chr2:65750001-65800001",3
2334,5114,13039,"chr2:66000001-66050001",3
2142,4894,12727,"chr2:66250001-66300001",3
1965,4818,13049,"chr2:66500001-66550001",3
2614,5637,11923,"chr2:66750001-66800001",3
2224,5381,13076,"chr2:67000001-67050001",3
2025,4989,12795,"chr2:67250001-67300001",3
2063,5006,12978,"chr2:67500001-67550001",3
2207,4629,13117,"chr2:67750001-67800001",3
2389,4853,13080,"chr2:68000001-68050001",3
1969,5289,13583,"chr2:68250001-68300001",3
2507,5099,12894,"chr2:68500001-68550001",3
2462,5049,13297,"chr2:68750001-68800001",3
2225,5054,13318,"chr2:69000001-69050001",3
2177,4990,13174,"chr2:69250001-69300001",3
2192,3706,13568,"chr2:69500001-69550001",3
2601,3793,13271,"chr2:69750001-69800001",3
2287,3672,13693,"chr2:70000001-70050001",3
2800,3390,13205,"chr2:70250001-70300001",3
2965,3428,13336,"chr2:70500001-70550001",3
2888,3416,13384,"chr2:70750001-70800001",3
2425,3487,13434,"chr2:71000001-71050001",3
2820,3195,13216,"chr2:71250001-71300001",3
2634,3201,13673,"chr2:71500001-71550001",3
2980,3129,13689,"chr2:71750001-71800001",3
2760,3124,13533,"chr2:72000001-72050001",3
2633,3013,13683,"chr2:72250001-72300001",3
2549,3247,13638,"chr2:72500001-72550001",3
2785,2937,13759,"chr2:72750001-72800001",3
2770,3487,13438,"chr2:73000001-73050001",3
2754,3235,13718,"chr2:73250001-73300001",3
2589,3630,13644,"chr2:73500001-73550001",3
2944,3250,13813,"chr2:73750001-73800001",3
2667,3051,14001,"chr2:74000001-74050001",3
2407,3154,13906,"chr2:74250001-74300001",3
2318,3439,13865,"chr2:74500001-74550001",3
2621,3271,13089,"chr2:74750001-74800001",3
2101,5319,13312,"chr2:75000001-75050001",3
2749,3135,13787,"chr2:75250001-75300001",3
2016,5493,13405,"chr2:75500001-75550001",3
2680,4716,12408,"chr2:75750001-75800001",3
2573,4879,12485,"chr2:76000001-76050001",3
2023,5412,13184,"chr2:76250001-76300001",3
2005,5623,13586,"chr2:76500001-76550001",3
2804,5083,12523,"chr2:76750001-76800001",3
2732,6275,11264,"chr2:77000001-77050001",3
2761,4779,12235,"chr2:77250001-77300001",3
2407,5587,11811,"chr2:77500001-77550001",3
2536,4230,12656,"chr2:77750001-77800001",3
1992,5644,13499,"chr2:78000001-78050001",3
3391,5068,12759,"chr2:78250001-78300001",3
3088,3126,14038,"chr2:78500001-78550001",3
2746,3537,13895,"chr2:78750001-78800001",3
2625,2558,14246,"chr2:79000001-79050001",3
2999,4248,13520,"chr2:79250001-79300001",3
2650,2945,13923,"chr2:79500001-79550001",3
3121,2773,13948,"chr2:79750001-79800001",3
2766,2615,14167,"chr2:80000001-80050001",3
2283,3221,13625,"chr2:80250001-80300001",3
2818,2803,13898,"chr2:80500001-80550001",3
2971,2845,13690,"chr2:80750001-80800001",3
3180,2664,13965,"chr2:81000001-81050001",3
3282,2715,14302,"chr2:81250001-81300001",3
3021,2912,14070,"chr2:81500001-81550001",3
3018,3093,13759,"chr2:81750001-81800001",3
3183,2704,13932,"chr2:82000001-82050001",3
3025,3074,13812,"chr2:82250001-82300001",3
3053,3265,13858,"chr2:82500001-82550001",3
2613,4952,12442,"chr2:82750001-82800001",3
2445,5259,13280,"chr2:83000001-83050001",3
2976,3261,13668,"chr2:83250001-83300001",3
3040,3429,13995,"chr2:83500001-83550001",3
2216,5206,12289,"chr2:83750001-83800001",3
2848,2908,13816,"chr2:84000001-84050001",3
2788,4760,12233,"chr2:84250001-84300001",3
2767,4430,13558,"chr2:84500001-84550001",3
1983,5566,13546,"chr2:84750001-84800001",3
2331,5263,13513,"chr2:85000001-85050001",3
1419,4793,12598,"chr2:85250001-85300001",3
2173,5059,14051,"chr2:85500001-85550001",3
2781,4871,12327,"chr2:85750001-85800001",3
2739,7456,13184,"chr2:86000001-86050001",3
2723,5043,12230,"chr2:86250001-86300001",3
2806,4849,13108,"chr2:86500001-86550001",3
2044,5625,13000,"chr2:86750001-86800001",3
2623,4990,13211,"chr2:87250001-87300001",3
2673,5573,13357,"chr2:87500001-87550001",3
2641,4345,12890,"chr2:88000001-88050001",3
2390,4947,12535,"chr2:88250001-88300001",3
3387,4093,13608,"chr2:88500001-88550001",3
3011,2314,14289,"chr2:88750001-88800001",3
2727,4921,12403,"chr2:89000001-89050001",3
2764,5078,12549,"chr2:89750001-89800001",3
2498,3119,14594,"chr2:90000001-90050001",3
2403,4776,12354,"chr2:91750001-91800001",3
3164,4116,13718,"chr2:94750001-94800001",3
2487,4489,12454,"chr2:95000001-95050001",3
2845,3481,14009,"chr2:95250001-95300001",3
2690,4890,12445,"chr2:95500001-95550001",3
2587,4372,13646,"chr2:95750001-95800001",3
2777,3715,13815,"chr2:96000001-96050001",3
2551,3979,13995,"chr2:96250001-96300001",3
2632,4161,13729,"chr2:96500001-96550001",3
2596,4112,13939,"chr2:96750001-96800001",3
2790,4503,13810,"chr2:97000001-97050001",3
2814,4230,13437,"chr2:97750001-97800001",3
2943,4071,13450,"chr2:98000001-98050001",3
2723,4197,13872,"chr2:98250001-98300001",3
2565,4551,13528,"chr2:98500001-98550001",3
2773,4255,13423,"chr2:98750001-98800001",3
2993,4073,13469,"chr2:99000001-99050001",3
2595,4129,13338,"chr2:99250001-99300001",3
2770,5194,12742,"chr2:99500001-99550001",3
2909,3846,13444,"chr2:99750001-99800001",3
2769,4139,13542,"chr2:100000001-100050001",3
2793,4160,13659,"chr2:100250001-100300001",3
2834,3794,13816,"chr2:100500001-100550001",3
2840,4099,13922,"chr2:100750001-100800001",3
3646,3443,13636,"chr2:101000001-101050001",3
2892,3604,14254,"chr2:101250001-101300001",3
2815,4070,13791,"chr2:101500001-101550001",3
3274,3760,14126,"chr2:101750001-101800001",3
2861,3872,14062,"chr2:102000001-102050001",3
1845,5525,13414,"chr2:102250001-102300001",3
3513,3478,13762,"chr2:102500001-102550001",3
3369,3332,14215,"chr2:102750001-102800001",3
3331,3553,13810,"chr2:103000001-103050001",3
2844,3474,14205,"chr2:103250001-103300001",3
3128,3601,14222,"chr2:103500001-103550001",3
3358,3255,13957,"chr2:103750001-103800001",3
3160,3202,14054,"chr2:104000001-104050001",3
3074,3409,13783,"chr2:104250001-104300001",3
3064,3376,13570,"chr2:104500001-104550001",3
2851,3302,13374,"chr2:104750001-104800001",3
2614,4986,13989,"chr2:105000001-105050001",3
2412,3663,13380,"chr2:105250001-105300001",3
2738,3974,13240,"chr2:105500001-105550001",3
2427,4126,13380,"chr2:105750001-105800001",3
2548,4151,13303,"chr2:106000001-106050001",3
2841,4228,12735,"chr2:106250001-106300001",3
2830,4235,12789,"chr2:106500001-106550001",3
3223,4190,13050,"chr2:106750001-106800001",3
3237,4336,13370,"chr2:107000001-107050001",3
3219,4343,13221,"chr2:107250001-107300001",3
3230,4068,13481,"chr2:107500001-107550001",3
3277,4504,13599,"chr2:107750001-107800001",3
3259,4166,13327,"chr2:108000001-108050001",3
3443,4474,13479,"chr2:108250001-108300001",3
3102,4457,13139,"chr2:108500001-108550001",3
2955,4465,13613,"chr2:108750001-108800001",3
2753,3820,13383,"chr2:109000001-109050001",3
3008,4529,13705,"chr2:109250001-109300001",3
2734,4660,13444,"chr2:109500001-109550001",3
