"chr","loc1","loc2","lg_balance","IQRs"
"chr14",27700000,106100000,-3.259,2.534
"chr14",27700000,106200000,-3.229,2.743
"chr14",27700000,106300000,-3.216,2.622
"chr14",27700000,106400000,-3.168,2.892
"chr14",27700000,106500000,-3.17,2.824
"chr14",27700000,106600000,-3.152,2.903
"chr14",27700000,106700000,-3.176,2.577
"chr14",27700000,106800000,-3.183,2.417
"chr14",27700000,106900000,-3.183,2.115
"chr14",27800000,4e+07,-2.613,2.016
"chr14",27800000,40200000,-2.598,2.054
"chr14",27800000,40300000,-2.595,2.067
"chr14",27800000,40400000,-2.604,2.068
"chr14",27800000,40500000,-2.612,2.059
"chr14",27800000,40600000,-2.634,2.03
"chr14",27800000,40700000,-2.648,2.041
"chr14",27800000,40800000,-2.65,2.082
"chr14",27800000,40900000,-2.67,2.026
"chr14",27800000,41100000,-2.684,2.037
"chr14",27800000,41200000,-2.713,2.018
"chr14",27800000,78500000,-3.366,2.243
"chr14",27800000,78600000,-3.383,2.032
"chr14",27800000,81600000,-3.353,2.182
"chr14",27800000,81700000,-3.356,2.231
"chr14",27800000,81800000,-3.319,2.615
"chr14",27800000,81900000,-3.29,2.707
"chr14",27800000,8.2e+07,-3.254,2.997
"chr14",27800000,82100000,-3.26,2.988
"chr14",27800000,82200000,-3.291,2.82
"chr14",27800000,82300000,-3.291,3.005
"chr14",27800000,82400000,-3.3,3.048
"chr14",27800000,82500000,-3.33,2.879
"chr14",27800000,82600000,-3.368,2.585
"chr14",27800000,97500000,-3.462,2.066
"chr14",27800000,97900000,-3.484,2.159
"chr14",27800000,106200000,-3.3,2.241
"chr14",27800000,106300000,-3.295,2.28
"chr14",27800000,106400000,-3.241,2.459
"chr14",27800000,106500000,-3.224,2.527
"chr14",27800000,106600000,-3.203,2.61
"chr14",27800000,106700000,-3.213,2.519
"chr14",27800000,106800000,-3.199,2.444
"chr14",27800000,106900000,-3.184,2.409
"chr14",27900000,40300000,-2.6,2.05
"chr14",27900000,40400000,-2.607,2.03
"chr14",27900000,40500000,-2.612,2.041
"chr14",27900000,40800000,-2.647,2.045
"chr14",27900000,40900000,-2.669,2.019
"chr14",27900000,78400000,-3.375,2.084
"chr14",27900000,78500000,-3.364,2.259
"chr14",27900000,78600000,-3.386,2.07
"chr14",27900000,81700000,-3.367,2.073
"chr14",27900000,81800000,-3.32,2.525
"chr14",27900000,81900000,-3.277,2.968
"chr14",27900000,8.2e+07,-3.261,2.938
"chr14",27900000,82100000,-3.274,2.836
"chr14",27900000,82200000,-3.303,2.639
"chr14",27900000,82300000,-3.293,2.802
"chr14",27900000,82400000,-3.326,2.704
"chr14",27900000,82500000,-3.357,2.537
"chr14",27900000,82600000,-3.395,2.278
"chr14",27900000,97900000,-3.456,2.442
"chr14",27900000,9.8e+07,-3.478,2.215
"chr14",27900000,98100000,-3.451,2.172
"chr14",27900000,98200000,-3.433,2.206
"chr14",27900000,98300000,-3.431,2.03
"chr14",27900000,106200000,-3.28,2.007
"chr14",27900000,106300000,-3.279,2.393
"chr14",27900000,106400000,-3.228,2.749
"chr14",27900000,106500000,-3.225,2.567
"chr14",27900000,106600000,-3.21,2.619
"chr14",27900000,106700000,-3.222,2.489
"chr14",27900000,106800000,-3.205,2.57
"chr14",27900000,106900000,-3.21,2.374
"chr14",2.8e+07,4e+07,-2.63,2.005
"chr14",2.8e+07,78400000,-3.368,2.036
"chr14",2.8e+07,78500000,-3.372,2.109
"chr14",2.8e+07,78600000,-3.383,2.091
"chr14",2.8e+07,81800000,-3.318,2.458
"chr14",2.8e+07,81900000,-3.289,2.771
"chr14",2.8e+07,8.2e+07,-3.284,2.909
"chr14",2.8e+07,82100000,-3.286,2.735
"chr14",2.8e+07,82200000,-3.319,2.477
"chr14",2.8e+07,82300000,-3.314,2.548
"chr14",2.8e+07,82400000,-3.354,2.299
"chr14",2.8e+07,82500000,-3.385,2.184
"chr14",2.8e+07,82600000,-3.415,2.017
"chr14",2.8e+07,97900000,-3.449,2.347
"chr14",2.8e+07,9.8e+07,-3.464,2.361
"chr14",2.8e+07,98100000,-3.449,2.526
"chr14",2.8e+07,98200000,-3.432,2.353
"chr14",2.8e+07,98300000,-3.426,2.269
"chr14",2.8e+07,106400000,-3.27,2.456
"chr14",2.8e+07,106500000,-3.252,2.578
"chr14",2.8e+07,106600000,-3.25,2.399
"chr14",2.8e+07,106700000,-3.246,2.387
"chr14",2.8e+07,106800000,-3.238,2.389
"chr14",2.8e+07,106900000,-3.239,2.354
"chr14",28100000,4e+07,-2.625,2.024
"chr14",28100000,40100000,-2.631,2
"chr14",28100000,40300000,-2.614,2.012
"chr14",28100000,81800000,-3.318,2.369
"chr14",28100000,81900000,-3.269,2.836
"chr14",28100000,8.2e+07,-3.265,2.966
"chr14",28100000,82100000,-3.26,3.104
"chr14",28100000,82200000,-3.298,2.641
"chr14",28100000,82300000,-3.286,2.737
"chr14",28100000,82400000,-3.332,2.405
"chr14",28100000,82500000,-3.353,2.307
"chr14",28100000,82600000,-3.39,2.141
"chr14",28100000,97800000,-3.461,2.075
"chr14",28100000,97900000,-3.434,2.294
"chr14",28100000,9.8e+07,-3.468,2.16
"chr14",28100000,98100000,-3.439,2.625
"chr14",28100000,98200000,-3.409,2.958
"chr14",28100000,98300000,-3.406,2.607
"chr14",28100000,98400000,-3.423,2.298
"chr14",28100000,106400000,-3.248,2.207
"chr14",28100000,106500000,-3.245,2.628
"chr14",28100000,106600000,-3.254,2.567
"chr14",28100000,106700000,-3.242,2.454
"chr14",28100000,106800000,-3.231,2.483
"chr14",28100000,106900000,-3.256,2.271
"chr14",28200000,39900000,-2.621,2.035
"chr14",28200000,4e+07,-2.624,2.028
"chr14",28200000,40300000,-2.622,2
"chr14",28200000,78300000,-3.399,2.008
"chr14",28200000,81800000,-3.323,2.311
"chr14",28200000,81900000,-3.29,2.582
"chr14",28200000,8.2e+07,-3.288,2.688
"chr14",28200000,82100000,-3.285,2.801
"chr14",28200000,82200000,-3.333,2.502
"chr14",28200000,82300000,-3.323,2.441
"chr14",28200000,82400000,-3.367,2.096
"chr14",28200000,9.7e+07,-3.523,2.084
"chr14",28200000,97900000,-3.441,2.266
"chr14",28200000,98100000,-3.454,2.297
"chr14",28200000,98200000,-3.434,2.679
"chr14",28200000,98300000,-3.425,2.787
"chr14",28200000,98400000,-3.449,2.193
"chr14",28200000,106500000,-3.248,2.209
"chr14",28200000,106600000,-3.254,2.563
"chr14",28200000,106700000,-3.242,2.651
"chr14",28200000,106800000,-3.234,2.507
"chr14",28200000,106900000,-3.256,2.32
"chr14",28300000,40300000,-2.631,2.001
"chr14",28300000,78200000,-3.404,2.118
"chr14",28300000,78300000,-3.392,2.138
"chr14",28300000,78400000,-3.38,2.18
"chr14",28300000,81800000,-3.329,2.223
"chr14",28300000,81900000,-3.301,2.476
"chr14",28300000,8.2e+07,-3.31,2.429
"chr14",28300000,82100000,-3.298,2.615
"chr14",28300000,82200000,-3.339,2.365
"chr14",28300000,82300000,-3.336,2.475
"chr14",28300000,98200000,-3.465,2.187
"chr14",28300000,98300000,-3.458,2.417
"chr14",28300000,98400000,-3.479,2.205
"chr14",28300000,106700000,-3.283,2.36
"chr14",28300000,106800000,-3.3,2.244
"chr14",28400000,78200000,-3.416,2.019
"chr14",28400000,78300000,-3.404,2.119
"chr14",28400000,78400000,-3.396,2.107
"chr14",28400000,81900000,-3.344,2.115
"chr14",28400000,8.2e+07,-3.359,2.046
"chr14",28400000,82100000,-3.345,2.169
"chr14",28400000,82300000,-3.376,2.069
"chr14",28400000,106900000,-3.322,2.09
"chr14",28500000,78400000,-3.408,2.075
"chr14",28500000,82100000,-3.336,2.211
"chr14",28500000,82300000,-3.375,2.012
"chr14",28600000,82100000,-3.339,2.156
"chr14",3.3e+07,106900000,-3.433,2.083
"chr14",33100000,106900000,-3.436,2.012
"chr14",3.4e+07,106900000,-3.406,2.118
"chr14",34100000,106900000,-3.411,2.004
"chr14",36500000,106600000,-3.49,2.092
"chr14",36500000,106800000,-3.454,2.013
"chr14",36600000,106600000,-3.469,2.307
"chr14",36600000,106700000,-3.468,2.321
"chr14",36600000,106800000,-3.433,2.344
"chr14",36600000,106900000,-3.454,2.013
"chr14",36700000,106500000,-3.449,2.15
"chr14",36700000,106600000,-3.424,2.599
"chr14",36700000,106700000,-3.426,2.764
"chr14",36700000,106800000,-3.4,3.054
"chr14",36700000,106900000,-3.427,2.405
"chr14",36800000,106600000,-3.458,2.069
"chr14",36800000,106700000,-3.463,2.207
"chr14",36800000,106800000,-3.454,2.462
"chr14",36800000,106900000,-3.462,2.385
"chr14",36900000,106800000,-3.461,2.227
"chr14",36900000,106900000,-3.476,2.231
"chr14",37700000,106500000,-3.517,2.155
"chr14",37700000,106600000,-3.506,2.085
"chr14",37900000,106900000,-3.466,2.384
"chr14",3.8e+07,106600000,-3.516,2.122
"chr14",3.8e+07,106700000,-3.512,2.116
"chr14",3.8e+07,106800000,-3.505,2.298
"chr14",3.8e+07,106900000,-3.455,2.616
"chr14",38100000,106600000,-3.517,2.119
"chr14",38100000,106700000,-3.517,2.107
"chr14",38100000,106800000,-3.512,2.122
"chr14",38100000,106900000,-3.45,2.935
"chr14",38200000,106600000,-3.519,2.025
"chr14",38200000,106700000,-3.52,2.074
"chr14",38200000,106800000,-3.516,2.124
"chr14",38200000,106900000,-3.48,2.488
"chr14",38300000,106600000,-3.512,2.053
"chr14",38300000,106700000,-3.512,2.103
"chr14",38300000,106800000,-3.494,2.391
"chr14",38300000,106900000,-3.452,2.895
"chr14",38400000,106600000,-3.486,2.27
"chr14",38400000,106700000,-3.469,2.547
"chr14",38400000,106800000,-3.457,2.77
"chr14",38400000,106900000,-3.428,3.2
"chr14",38500000,106600000,-3.473,2.496
"chr14",38500000,106700000,-3.461,2.543
"chr14",38500000,106800000,-3.43,2.996
"chr14",38500000,106900000,-3.443,2.93
"chr14",38600000,106600000,-3.497,2.073
"chr14",38600000,106700000,-3.483,2.382
"chr14",38600000,106800000,-3.446,2.716
"chr14",38600000,106900000,-3.455,2.715
"chr14",38700000,106800000,-3.477,2.443
"chr14",38700000,106900000,-3.486,2.266
"chr14",38800000,106800000,-3.5,2.042
"chr14",38800000,106900000,-3.516,2.014
"chr14",38900000,106700000,-3.487,2.135
"chr14",38900000,106800000,-3.432,2.721
"chr14",38900000,106900000,-3.433,2.739
"chr14",3.9e+07,106600000,-3.478,2.121
"chr14",3.9e+07,106700000,-3.471,2.217
"chr14",3.9e+07,106800000,-3.435,2.654
"chr14",3.9e+07,106900000,-3.44,2.637
"chr14",39100000,106800000,-3.47,2.227
"chr14",39100000,106900000,-3.474,2.256
"chr14",39200000,106500000,-3.481,2.1
"chr14",39200000,106800000,-3.456,2.333
"chr14",39200000,106900000,-3.457,2.352
"chr14",39300000,106300000,-3.494,2.001
"chr14",39300000,106400000,-3.46,2.296
"chr14",39300000,106500000,-3.418,2.678
"chr14",39300000,106600000,-3.397,2.914
"chr14",39300000,106700000,-3.415,2.647
"chr14",39300000,106800000,-3.392,2.784
"chr14",39300000,106900000,-3.413,2.743
"chr14",39400000,1.06e+08,-3.47,2.328
"chr14",39400000,106100000,-3.445,2.625
"chr14",39400000,106200000,-3.411,2.983
"chr14",39400000,106300000,-3.411,2.945
"chr14",39400000,106400000,-3.379,3.113
"chr14",39400000,106500000,-3.36,3.245
"chr14",39400000,106600000,-3.345,3.379
"chr14",39400000,106700000,-3.364,3.237
"chr14",39400000,106800000,-3.361,3.162
"chr14",39400000,106900000,-3.368,3.01
"chr14",39500000,105900000,-3.48,2.179
"chr14",39500000,1.06e+08,-3.434,2.682
"chr14",39500000,106100000,-3.388,3.158
"chr14",39500000,106200000,-3.353,3.575
"chr14",39500000,106300000,-3.351,3.595
"chr14",39500000,106400000,-3.328,3.787
"chr14",39500000,106500000,-3.316,3.728
"chr14",39500000,106600000,-3.297,3.855
"chr14",39500000,106700000,-3.32,3.617
"chr14",39500000,106800000,-3.334,3.537
"chr14",39500000,106900000,-3.342,3.349
"chr14",39600000,81900000,-3.309,2.327
"chr14",39600000,8.2e+07,-3.306,2.395
"chr14",39600000,82100000,-3.336,2.206
"chr14",39600000,82200000,-3.344,2.099
"chr14",39600000,105800000,-3.476,2.137
"chr14",39600000,105900000,-3.431,2.619
"chr14",39600000,1.06e+08,-3.383,3.13
"chr14",39600000,106100000,-3.346,3.571
"chr14",39600000,106200000,-3.314,3.912
"chr14",39600000,106300000,-3.31,4.012
"chr14",39600000,106400000,-3.308,4.038
"chr14",39600000,106500000,-3.295,4.121
"chr14",39600000,106600000,-3.279,4.084
"chr14",39600000,106700000,-3.312,3.712
"chr14",39600000,106800000,-3.322,3.595
"chr14",39600000,106900000,-3.341,3.46
"chr14",39700000,81700000,-3.313,2.004
"chr14",39700000,81800000,-3.287,2.252
"chr14",39700000,81900000,-3.257,2.575
"chr14",39700000,8.2e+07,-3.269,2.63
"chr14",39700000,82100000,-3.31,2.364
"chr14",39700000,82200000,-3.319,2.338
"chr14",39700000,97800000,-3.419,2.014
"chr14",39700000,97900000,-3.418,2.053
"chr14",39700000,98100000,-3.414,2.057
"chr14",39700000,98200000,-3.398,2.308
"chr14",39700000,105800000,-3.45,2.335
"chr14",39700000,105900000,-3.374,3.093
"chr14",39700000,1.06e+08,-3.329,3.605
"chr14",39700000,106100000,-3.292,4.02
"chr14",39700000,106200000,-3.253,4.498
"chr14",39700000,106300000,-3.251,4.546
"chr14",39700000,106400000,-3.252,4.616
"chr14",39700000,106500000,-3.253,4.601
"chr14",39700000,106600000,-3.255,4.532
"chr14",39700000,106700000,-3.287,4.009
"chr14",39700000,106800000,-3.299,3.834
"chr14",39700000,106900000,-3.334,3.483
"chr14",39800000,81600000,-3.308,2.002
"chr14",39800000,81700000,-3.3,2.092
"chr14",39800000,81800000,-3.246,2.464
"chr14",39800000,81900000,-3.202,2.856
"chr14",39800000,8.2e+07,-3.21,2.924
"chr14",39800000,82100000,-3.252,2.764
"chr14",39800000,82200000,-3.256,2.789
"chr14",39800000,82300000,-3.306,2.441
"chr14",39800000,82400000,-3.355,2.008
"chr14",39800000,97900000,-3.405,2.136
"chr14",39800000,9.8e+07,-3.414,2.086
"chr14",39800000,98100000,-3.406,2.122
"chr14",39800000,98200000,-3.396,2.212
"chr14",39800000,105800000,-3.438,2.272
"chr14",39800000,105900000,-3.357,3.194
"chr14",39800000,1.06e+08,-3.307,3.723
"chr14",39800000,106100000,-3.255,4.319
"chr14",39800000,106200000,-3.205,4.864
"chr14",39800000,106300000,-3.192,5.115
"chr14",39800000,106400000,-3.192,5.142
"chr14",39800000,106500000,-3.191,5.234
"chr14",39800000,106600000,-3.188,5.278
"chr14",39800000,106700000,-3.217,4.909
"chr14",39800000,106800000,-3.243,4.432
"chr14",39800000,106900000,-3.282,4.001
"chr14",39900000,81700000,-3.298,2.071
"chr14",39900000,81800000,-3.244,2.485
"chr14",39900000,81900000,-3.205,2.747
"chr14",39900000,8.2e+07,-3.215,2.766
"chr14",39900000,82100000,-3.236,2.729
"chr14",39900000,82200000,-3.238,2.875
"chr14",39900000,82300000,-3.293,2.496
"chr14",39900000,82400000,-3.349,2.102
"chr14",39900000,98100000,-3.416,2.071
"chr14",39900000,98200000,-3.396,2.208
"chr14",39900000,98400000,-3.431,2.012
"chr14",39900000,98500000,-3.428,2.065
"chr14",39900000,105700000,-3.411,2.247
"chr14",39900000,105800000,-3.4,2.437
"chr14",39900000,105900000,-3.343,3.095
"chr14",39900000,1.06e+08,-3.297,3.747
"chr14",39900000,106100000,-3.255,4.207
"chr14",39900000,106200000,-3.21,4.744
"chr14",39900000,106300000,-3.205,4.865
"chr14",39900000,106400000,-3.202,5.011
"chr14",39900000,106500000,-3.184,5.223
"chr14",39900000,106600000,-3.175,5.4
"chr14",39900000,106700000,-3.2,5.146
"chr14",39900000,106800000,-3.212,4.964
"chr14",39900000,106900000,-3.237,4.491
"chr14",4e+07,81700000,-3.292,2.01
"chr14",4e+07,81800000,-3.221,2.593
"chr14",4e+07,81900000,-3.197,2.808
"chr14",4e+07,8.2e+07,-3.203,2.767
"chr14",4e+07,82100000,-3.216,2.76
"chr14",4e+07,82200000,-3.221,2.842
"chr14",4e+07,82300000,-3.286,2.5
"chr14",4e+07,82400000,-3.355,2.007
"chr14",4e+07,97600000,-3.411,2.072
"chr14",4e+07,98200000,-3.415,2.075
"chr14",4e+07,98500000,-3.426,2.053
"chr14",4e+07,105700000,-3.427,2.071
"chr14",4e+07,105800000,-3.384,2.464
"chr14",4e+07,105900000,-3.308,3.197
"chr14",4e+07,1.06e+08,-3.277,3.674
"chr14",4e+07,106100000,-3.226,4.407
"chr14",4e+07,106200000,-3.194,4.776
"chr14",4e+07,106300000,-3.186,4.983
"chr14",4e+07,106400000,-3.178,5.128
"chr14",4e+07,106500000,-3.169,5.342
"chr14",4e+07,106600000,-3.18,5.261
"chr14",4e+07,106700000,-3.196,5.181
"chr14",4e+07,106800000,-3.211,5.037
"chr14",4e+07,106900000,-3.212,4.96
"chr14",40100000,81700000,-3.281,2.019
"chr14",40100000,81800000,-3.216,2.509
"chr14",40100000,81900000,-3.207,2.689
"chr14",40100000,8.2e+07,-3.206,2.744
"chr14",40100000,82100000,-3.222,2.63
"chr14",40100000,82200000,-3.227,2.681
"chr14",40100000,82300000,-3.283,2.384
"chr14",40100000,82400000,-3.341,2.078
"chr14",40100000,105700000,-3.433,2.016
"chr14",40100000,105800000,-3.423,2.101
"chr14",40100000,105900000,-3.346,2.769
"chr14",40100000,1.06e+08,-3.318,3.11
"chr14",40100000,106100000,-3.262,3.803
"chr14",40100000,106200000,-3.23,4.367
"chr14",40100000,106300000,-3.208,4.647
"chr14",40100000,106400000,-3.199,4.858
"chr14",40100000,106500000,-3.171,5.197
"chr14",40100000,106600000,-3.185,5.189
"chr14",40100000,106700000,-3.189,5.176
"chr14",40100000,106800000,-3.195,5.2
"chr14",40100000,106900000,-3.192,5.227
"chr14",40200000,81800000,-3.231,2.346
"chr14",40200000,81900000,-3.207,2.571
"chr14",40200000,8.2e+07,-3.203,2.717
"chr14",40200000,82100000,-3.217,2.668
"chr14",40200000,82200000,-3.226,2.603
"chr14",40200000,82300000,-3.268,2.389
"chr14",40200000,82400000,-3.327,2.066
"chr14",40200000,98400000,-3.411,2.113
"chr14",40200000,98500000,-3.392,2.248
"chr14",40200000,98600000,-3.417,2.036
"chr14",40200000,98700000,-3.424,2.075
"chr14",40200000,98800000,-3.414,2.191
"chr14",40200000,105700000,-3.445,2.083
"chr14",40200000,105800000,-3.421,2.114
"chr14",40200000,105900000,-3.359,2.601
"chr14",40200000,1.06e+08,-3.338,2.832
"chr14",40200000,106100000,-3.281,3.417
"chr14",40200000,106200000,-3.24,3.995
"chr14",40200000,106300000,-3.214,4.519
"chr14",40200000,106400000,-3.192,4.795
"chr14",40200000,106500000,-3.165,5.179
"chr14",40200000,106600000,-3.164,5.273
"chr14",40200000,106700000,-3.154,5.501
"chr14",40200000,106800000,-3.153,5.54
"chr14",40200000,106900000,-3.131,5.85
"chr14",40300000,81800000,-3.222,2.317
"chr14",40300000,81900000,-3.208,2.496
"chr14",40300000,8.2e+07,-3.208,2.565
"chr14",40300000,82100000,-3.212,2.66
"chr14",40300000,82200000,-3.239,2.516
"chr14",40300000,82300000,-3.28,2.233
"chr14",40300000,98400000,-3.405,2.136
"chr14",40300000,98500000,-3.388,2.319
"chr14",40300000,98600000,-3.407,2.117
"chr14",40300000,98700000,-3.418,2.023
"chr14",40300000,105800000,-3.428,2.234
"chr14",40300000,105900000,-3.377,2.461
"chr14",40300000,1.06e+08,-3.354,2.642
"chr14",40300000,106100000,-3.292,3.192
"chr14",40300000,106200000,-3.246,3.7
"chr14",40300000,106300000,-3.217,4.196
"chr14",40300000,106400000,-3.192,4.72
"chr14",40300000,106500000,-3.175,4.961
"chr14",40300000,106600000,-3.176,5.077
"chr14",40300000,106700000,-3.168,5.23
"chr14",40300000,106800000,-3.173,5.306
"chr14",40300000,106900000,-3.15,5.568
"chr14",40400000,81800000,-3.244,2.148
"chr14",40400000,81900000,-3.226,2.292
"chr14",40400000,8.2e+07,-3.214,2.454
"chr14",40400000,82100000,-3.205,2.583
"chr14",40400000,82200000,-3.228,2.547
"chr14",40400000,82300000,-3.254,2.413
"chr14",40400000,82400000,-3.307,2.045
"chr14",40400000,98500000,-3.401,2.176
"chr14",40400000,98600000,-3.4,2.207
"chr14",40400000,98700000,-3.401,2.166
"chr14",40400000,98800000,-3.401,2.176
"chr14",40400000,105800000,-3.429,2.28
"chr14",40400000,105900000,-3.389,2.562
"chr14",40400000,1.06e+08,-3.365,2.556
"chr14",40400000,106100000,-3.31,2.985
"chr14",40400000,106200000,-3.276,3.319
"chr14",40400000,106300000,-3.247,3.693
"chr14",40400000,106400000,-3.21,4.253
"chr14",40400000,106500000,-3.192,4.716
"chr14",40400000,106600000,-3.186,4.852
"chr14",40400000,106700000,-3.18,5.036
"chr14",40400000,106800000,-3.187,5.042
"chr14",40400000,106900000,-3.141,5.63
"chr14",40500000,81800000,-3.232,2.226
"chr14",40500000,81900000,-3.21,2.365
"chr14",40500000,8.2e+07,-3.212,2.381
"chr14",40500000,82100000,-3.212,2.467
"chr14",40500000,82200000,-3.245,2.319
"chr14",40500000,82300000,-3.258,2.344
"chr14",40500000,98500000,-3.375,2.287
"chr14",40500000,98600000,-3.38,2.355
"chr14",40500000,98700000,-3.39,2.301
"chr14",40500000,98800000,-3.407,2.118
"chr14",40500000,105800000,-3.426,2.294
"chr14",40500000,105900000,-3.389,2.623
"chr14",40500000,1.06e+08,-3.379,2.641
"chr14",40500000,106100000,-3.333,2.801
"chr14",40500000,106200000,-3.32,2.903
"chr14",40500000,106300000,-3.301,3.126
"chr14",40500000,106400000,-3.26,3.588
"chr14",40500000,106500000,-3.238,4.006
"chr14",40500000,106600000,-3.238,4.298
"chr14",40500000,106700000,-3.223,4.51
"chr14",40500000,106800000,-3.226,4.59
"chr14",40500000,106900000,-3.163,5.278
"chr14",40600000,81800000,-3.243,2.229
"chr14",40600000,81900000,-3.214,2.344
"chr14",40600000,8.2e+07,-3.199,2.429
"chr14",40600000,82100000,-3.214,2.372
"chr14",40600000,82200000,-3.243,2.27
"chr14",40600000,82300000,-3.25,2.286
"chr14",40600000,98300000,-3.404,2.022
"chr14",40600000,98500000,-3.371,2.232
"chr14",40600000,98600000,-3.385,2.209
"chr14",40600000,98700000,-3.404,2.143
"chr14",40600000,98800000,-3.415,2.082
"chr14",40600000,105800000,-3.424,2.352
"chr14",40600000,105900000,-3.394,2.583
"chr14",40600000,1.06e+08,-3.389,2.621
"chr14",40600000,106100000,-3.329,3.062
"chr14",40600000,106200000,-3.328,2.845
"chr14",40600000,106300000,-3.304,3.027
"chr14",40600000,106400000,-3.272,3.356
"chr14",40600000,106500000,-3.257,3.614
"chr14",40600000,106600000,-3.252,3.889
"chr14",40600000,106700000,-3.232,4.35
"chr14",40600000,106800000,-3.257,4.191
"chr14",40600000,106900000,-3.202,4.82
"chr14",40700000,81800000,-3.249,2.238
"chr14",40700000,81900000,-3.219,2.388
"chr14",40700000,8.2e+07,-3.203,2.41
"chr14",40700000,82100000,-3.233,2.218
"chr14",40700000,82200000,-3.268,2.031
"chr14",40700000,82300000,-3.265,2.123
"chr14",40700000,105900000,-3.455,2.068
"chr14",40700000,1.06e+08,-3.446,2.125
"chr14",40700000,106100000,-3.391,2.607
"chr14",40700000,106200000,-3.381,2.629
"chr14",40700000,106300000,-3.347,2.694
"chr14",40700000,106400000,-3.313,2.959
"chr14",40700000,106500000,-3.279,3.299
"chr14",40700000,106600000,-3.274,3.475
"chr14",40700000,106700000,-3.253,3.878
"chr14",40700000,106800000,-3.268,4.018
"chr14",40700000,106900000,-3.208,4.649
"chr14",40800000,81800000,-3.261,2.104
"chr14",40800000,81900000,-3.235,2.329
"chr14",40800000,8.2e+07,-3.233,2.297
"chr14",40800000,82100000,-3.255,2.081
"chr14",40800000,105800000,-3.472,2.037
"chr14",40800000,105900000,-3.454,2.179
"chr14",40800000,1.06e+08,-3.433,2.266
"chr14",40800000,106100000,-3.398,2.545
"chr14",40800000,106200000,-3.371,2.779
"chr14",40800000,106300000,-3.334,3.024
"chr14",40800000,106400000,-3.3,3.065
"chr14",40800000,106500000,-3.284,3.188
"chr14",40800000,106600000,-3.267,3.39
"chr14",40800000,106700000,-3.261,3.581
"chr14",40800000,106800000,-3.26,3.819
"chr14",40800000,106900000,-3.225,4.415
"chr14",40900000,81900000,-3.251,2.174
"chr14",40900000,8.2e+07,-3.245,2.262
"chr14",40900000,82100000,-3.268,2.064
"chr14",40900000,82200000,-3.267,2.006
"chr14",40900000,105900000,-3.448,2.267
"chr14",40900000,1.06e+08,-3.417,2.532
"chr14",40900000,106100000,-3.377,2.772
"chr14",40900000,106200000,-3.367,2.815
"chr14",40900000,106300000,-3.328,3.149
"chr14",40900000,106400000,-3.299,3.318
"chr14",40900000,106500000,-3.27,3.301
"chr14",40900000,106600000,-3.266,3.328
"chr14",40900000,106700000,-3.271,3.364
"chr14",40900000,106800000,-3.276,3.459
"chr14",40900000,106900000,-3.222,4.149
"chr14",4.1e+07,105700000,-3.474,2.117
"chr14",4.1e+07,105800000,-3.454,2.36
"chr14",4.1e+07,105900000,-3.441,2.355
"chr14",4.1e+07,1.06e+08,-3.4,2.721
"chr14",4.1e+07,106100000,-3.381,2.867
"chr14",4.1e+07,106200000,-3.375,2.791
"chr14",4.1e+07,106300000,-3.344,3.016
"chr14",4.1e+07,106400000,-3.316,3.259
"chr14",4.1e+07,106500000,-3.284,3.446
"chr14",4.1e+07,106600000,-3.27,3.299
"chr14",4.1e+07,106700000,-3.285,3.175
"chr14",4.1e+07,106800000,-3.276,3.318
"chr14",4.1e+07,106900000,-3.227,3.862
"chr14",41100000,105800000,-3.484,2.019
"chr14",41100000,105900000,-3.458,2.315
"chr14",41100000,1.06e+08,-3.412,2.626
"chr14",41100000,106100000,-3.399,2.732
"chr14",41100000,106200000,-3.389,2.796
"chr14",41100000,106300000,-3.343,3.083
"chr14",41100000,106400000,-3.321,3.225
"chr14",41100000,106500000,-3.276,3.609
"chr14",41100000,106600000,-3.261,3.639
"chr14",41100000,106700000,-3.278,3.24
"chr14",41100000,106800000,-3.255,3.415
"chr14",41100000,106900000,-3.206,3.875
"chr14",41200000,105900000,-3.469,2.166
"chr14",41200000,1.06e+08,-3.412,2.769
"chr14",41200000,106100000,-3.404,2.708
"chr14",41200000,106200000,-3.379,2.923
"chr14",41200000,106300000,-3.338,3.271
"chr14",41200000,106400000,-3.328,3.213
"chr14",41200000,106500000,-3.286,3.525
"chr14",41200000,106600000,-3.269,3.663
"chr14",41200000,106700000,-3.296,3.341
"chr14",41200000,106800000,-3.277,3.247
"chr14",41200000,106900000,-3.25,3.45
"chr14",41300000,1.06e+08,-3.428,2.558
"chr14",41300000,106100000,-3.434,2.558
"chr14",41300000,106200000,-3.398,2.757
"chr14",41300000,106300000,-3.37,3.004
"chr14",41300000,106400000,-3.346,3.198
"chr14",41300000,106500000,-3.303,3.444
"chr14",41300000,106600000,-3.289,3.498
"chr14",41300000,106700000,-3.329,3.144
"chr14",41300000,106800000,-3.297,3.336
"chr14",41300000,106900000,-3.272,3.282
"chr14",41400000,105900000,-3.471,2.045
"chr14",41400000,1.06e+08,-3.407,2.656
"chr14",41400000,106100000,-3.421,2.619
"chr14",41400000,106200000,-3.39,2.986
"chr14",41400000,106300000,-3.371,3.011
"chr14",41400000,106400000,-3.361,3.092
"chr14",41400000,106500000,-3.34,3.249
"chr14",41400000,106600000,-3.326,3.236
"chr14",41400000,106700000,-3.368,2.81
"chr14",41400000,106800000,-3.347,2.992
"chr14",41400000,106900000,-3.348,2.901
